date,fyrirtaeki,flokkur,n
2021-09-13,Maskína,Samfylkingin,459.02399999999994
2021-09-13,Maskína,Miðflokkurinn,172.92
2021-09-13,Maskína,Viðreisn,386.712
2021-09-13,Maskína,Sjálfstæðisflokkurinn,660.24
2021-09-13,Maskína,Framsóknarflokkurinn,377.28
2021-09-13,Maskína,Píratar,418.15200000000004
2021-09-13,Maskína,Flokkur Fólksins,113.184
2021-09-13,Maskína,Sósíalistaflokkurinn,191.784
2021-09-13,Maskína,Vinstri Græn,361.56
2021-09-13,Maskína,Annað,3.144000000000352
2021-09-06,Maskína,Samfylkingin,255.594
2021-09-06,Maskína,Miðflokkurinn,93.50999999999999
2021-09-06,Maskína,Viðreisn,243.126
2021-09-06,Maskína,Sjálfstæðisflokkurinn,496.642
2021-09-06,Maskína,Framsóknarflokkurinn,238.97
2021-09-06,Maskína,Píratar,232.73600000000002
2021-09-06,Maskína,Flokkur Fólksins,93.50999999999999
2021-09-06,Maskína,Sósíalistaflokkurinn,164.162
2021-09-06,Maskína,Vinstri Græn,259.75
2021-09-06,Maskína,Annað,0
2021-08-23,Maskína,Samfylkingin,106.86
2021-08-23,Maskína,Miðflokkurinn,41.922
2021-08-23,Maskína,Viðreisn,87.954
2021-08-23,Maskína,Sjálfstæðisflokkurinn,192.348
2021-08-23,Maskína,Framsóknarflokkurinn,103.572
2021-08-23,Maskína,Píratar,81.378
2021-08-23,Maskína,Flokkur Fólksins,34.524
2021-08-23,Maskína,Sósíalistaflokkurinn,56.718
2021-08-23,Maskína,Vinstri Græn,116.72399999999999
2021-08-23,Maskína,Annað,0
2021-07-31,Maskína,Samfylkingin,120.42300000000002
2021-07-31,Maskína,Miðflokkurinn,48.345
2021-07-31,Maskína,Viðreisn,108.117
2021-07-31,Maskína,Sjálfstæðisflokkurinn,183.71099999999998
2021-07-31,Maskína,Framsóknarflokkurinn,87.021
2021-07-31,Maskína,Píratar,111.633
2021-07-31,Maskína,Flokkur Fólksins,36.918
2021-07-31,Maskína,Sósíalistaflokkurinn,55.377
2021-07-31,Maskína,Vinstri Græn,123.939
2021-07-31,Maskína,Annað,3.516000000000003
2021-06-30,Maskína,Samfylkingin,108.996
2021-06-30,Maskína,Miðflokkurinn,43.95
2021-06-30,Maskína,Viðreisn,108.117
2021-06-30,Maskína,Sjálfstæðisflokkurinn,209.202
2021-06-30,Maskína,Framsóknarflokkurinn,100.206
2021-06-30,Maskína,Píratar,101.964
2021-06-30,Maskína,Flokkur Fólksins,36.918
2021-06-30,Maskína,Sósíalistaflokkurinn,37.797
2021-06-30,Maskína,Vinstri Græn,131.85
2021-06-30,Maskína,Annað,0
