year,decile,Total,Percent,Value per person
2013,4,73306804727.67413,0.05368908720346143,3825833.971487612
2013,5,90445741270.22589,0.06624145341320127,4720303.808268143
2013,6,115024671997.41539,0.08424278848819389,6003375.365209571
2013,7,143729362625.52835,0.10526578415696222,7501140.996061184
2013,8,184743201141.5341,0.13530386262477517,9641626.279501805
2013,9,239056369921.65417,0.17508222243413887,12476194.870917706
2013,10,411670593974.63855,0.3015029573463499,21485939.142726436
2014,1,10434804545.844297,0.007102806381113584,531466.0561191961
2014,2,38789638852.06219,0.026403493534456642,1975636.0829205555
2014,3,61364009840.974594,0.041769510751667384,3125395.2246600077
2014,4,77377495617.07263,0.05266963719434604,3940994.9891551714
2014,5,95557171445.34366,0.065044254937526,4866675.3982859
2014,6,121201300802.71219,0.08249980811414583,6173031.516894784
2014,7,152229747762.3655,0.1036203811055049,7753374.134784838
2014,8,196190052595.1283,0.13354346517574725,9992362.870282587
2014,9,255313687793.10205,0.17378798834949888,13003651.206738416
2014,10,460652184129.1199,0.3135586544559935,23461963.131767336
2015,1,10272835361.38206,0.006623395447862763,508934.12739073863
2015,2,40320550331.30204,0.025996615357392287,1997550.1774239307
2015,3,63966903490.83971,0.04124256668103603,3169031.6319464804
2015,4,81081969822.63498,0.052277480455477275,4016941.779669803
2015,5,100337149361.7325,0.06469222906387714,4970630.603474313
2015,6,126964478762.27374,0.08186016042227089,6290041.058324188
2015,7,159441353607.3308,0.10279957757853106,7899001.912674303
2015,8,207030405752.51965,0.13348254876012525,10256646.309265278
2015,9,271484893016.37363,0.1750394843596757,13449833.68919364
2015,10,490091763798.8435,0.31598594187375173,24279998.206531756
2016,1,12534450132.41441,0.007378140695025586,600884.4742288787
2016,2,44037089001.62726,0.025921507128034232,2110976.8947618646
2016,3,69690222111.611,0.04102168490641287,3340854.3677665866
2016,4,88407205079.60817,0.05203904364695783,4237917.88886478
2016,5,109119479582.6553,0.06423088882429684,5231039.289676668
2016,6,137644971226.18933,0.08102182009909625,6598196.214284518
2016,7,172752054012.31613,0.10168686670677383,8281498.274799431
