land,time,name,value,value_trend
Búlgaría,2012-01-01,reporting_country,12.6,11.225
Búlgaría,2012-04-01,reporting_country,12.1,11.475
Búlgaría,2012-07-01,reporting_country,11.3,11.8
Búlgaría,2012-10-01,reporting_country,12.1,12.025
Búlgaría,2013-01-01,reporting_country,13.5,12.25
Búlgaría,2013-04-01,reporting_country,12.8,12.425
Búlgaría,2013-07-01,reporting_country,11.8,12.55
Búlgaría,2013-10-01,reporting_country,12.9,12.75
Búlgaría,2014-01-01,reporting_country,13,12.625
Búlgaría,2014-04-01,reporting_country,11.3,12.25
Búlgaría,2014-07-01,reporting_country,10.7,11.975
Búlgaría,2014-10-01,reporting_country,10.5,11.375
Búlgaría,2015-01-01,reporting_country,10.5,10.75
Búlgaría,2015-04-01,reporting_country,9.9,10.4
Búlgaría,2015-07-01,reporting_country,8.1,9.75
Búlgaría,2015-10-01,reporting_country,7.8,9.075
Búlgaría,2016-01-01,reporting_country,8.6,8.6
Búlgaría,2016-04-01,reporting_country,8.1,8.15
Búlgaría,2016-07-01,reporting_country,6.9,7.85
Búlgaría,2016-10-01,reporting_country,6.6,7.55
Búlgaría,2017-01-01,reporting_country,6.9,7.125
Búlgaría,2017-04-01,reporting_country,6.3,6.675
Búlgaría,2017-07-01,reporting_country,5.7,6.375
Búlgaría,2017-10-01,reporting_country,5.5,6.1
Búlgaría,2018-01-01,reporting_country,5.7,5.8
Búlgaría,2018-04-01,reporting_country,5.4,5.575
Búlgaría,2018-07-01,reporting_country,4.9,5.375
Búlgaría,2018-10-01,reporting_country,4.6,5.15
Búlgaría,2019-01-01,reporting_country,4.9,4.95
Búlgaría,2019-04-01,reporting_country,4.1,4.625
Búlgaría,2019-07-01,reporting_country,3.6,4.3
Búlgaría,2019-10-01,reporting_country,4,4.15
Búlgaría,2020-01-01,reporting_country,4.4,4.025
Búlgaría,2020-04-01,reporting_country,5.8,4.45
Búlgaría,2020-07-01,reporting_country,4.7,4.725
Búlgaría,2020-10-01,reporting_country,5.1,5
Búlgaría,2021-01-01,reporting_country,6.2,5.45
Búlgaría,2021-04-01,reporting_country,5.6,5.4
Búlgaría,2021-07-01,reporting_country,4.5,5.35
Búlgaría,2021-10-01,reporting_country,4.4,5.175
Búlgaría,2022-01-01,reporting_country,4.8,4.825
Búlgaría,2022-04-01,reporting_country,4.5,4.55
Búlgaría,2022-07-01,reporting_country,3.5,4.3
Búlgaría,2022-10-01,reporting_country,3.7,4.125
Búlgaría,2023-01-01,reporting_country,4.4,4.025
Búlgaría,2023-04-01,reporting_country,4.6,4.05
Búlgaría,2023-07-01,reporting_country,4,4.175
Búlgaría,2023-10-01,reporting_country,4.2,4.3
Búlgaría,2024-01-01,reporting_country,5,4.45
Búlgaría,2024-04-01,reporting_country,4.2,4.35
Tékkland,2002-10-01,foreign_country,10.8,11.725
Tékkland,2002-10-01,reporting_country,6.8,6.875
Tékkland,2002-10-01,p,0.5882352941176472,0.7003699362684053
Tékkland,2003-01-01,foreign_country,11.7,11.05
Tékkland,2003-01-01,reporting_country,7.2,6.85
Tékkland,2003-01-01,p,0.6249999999999998,0.6134692513368984
Tékkland,2003-04-01,foreign_country,11.9,11.25
Tékkland,2003-04-01,reporting_country,7.2,7
Tékkland,2003-04-01,p,0.6527777777777777,0.6062091503267973
Tékkland,2003-07-01,foreign_country,11.9,11.575
Tékkland,2003-07-01,reporting_country,7.5,7.175
Tékkland,2003-07-01,p,0.5866666666666667,0.6131699346405228
Tékkland,2003-10-01,foreign_country,10.7,11.55
Tékkland,2003-10-01,reporting_country,7.6,7.375
Tékkland,2003-10-01,p,0.4078947368421053,0.5680847953216374
Tékkland,2004-01-01,foreign_country,14.7,12.3
Tékkland,2004-01-01,reporting_country,8.3,7.65
Tékkland,2004-01-01,p,0.7710843373493974,0.6046058796589868
Tékkland,2004-04-01,foreign_country,12.6,12.475
Tékkland,2004-04-01,reporting_country,7.9,7.825
Tékkland,2004-04-01,p,0.5949367088607593,0.5901456124297322
Tékkland,2004-07-01,foreign_country,11.6,12.399999999999999
Tékkland,2004-07-01,reporting_country,7.7,7.875
Tékkland,2004-07-01,p,0.5064935064935063,0.5701023223864421
Tékkland,2004-10-01,foreign_country,10.8,12.425
Tékkland,2004-10-01,reporting_country,7.7,7.9
Tékkland,2004-10-01,p,0.4025974025974026,0.5687779888252664
Tékkland,2005-01-01,foreign_country,14.4,12.35
Tékkland,2005-01-01,reporting_country,7.9,7.800000000000001
Tékkland,2005-01-01,p,0.8227848101265822,0.5817031070195626
Tékkland,2005-04-01,foreign_country,13,12.45
Tékkland,2005-04-01,reporting_country,7.4,7.675000000000001
Tékkland,2005-04-01,p,0.7567567567567566,0.6221581189935619
Tékkland,2005-07-01,foreign_country,9.7,11.975
Tékkland,2005-07-01,reporting_country,7.3,7.575
Tékkland,2005-07-01,p,0.3287671232876712,0.5777265231921032
Tékkland,2005-10-01,foreign_country,12.1,12.3
Tékkland,2005-10-01,reporting_country,7.2,7.45
Tékkland,2005-10-01,p,0.6805555555555554,0.6472160614316413
Tékkland,2006-01-01,foreign_country,12,11.7
Tékkland,2006-01-01,reporting_country,7.5,7.35
Tékkland,2006-01-01,p,0.6000000000000001,0.5915198588999958
Tékkland,2006-04-01,foreign_country,10.9,11.175
Tékkland,2006-04-01,reporting_country,6.8,7.2
Tékkland,2006-04-01,p,0.6029411764705883,0.5530659638284537
Tékkland,2006-07-01,foreign_country,11.6,11.65
Tékkland,2006-07-01,reporting_country,6.6,7.025
Tékkland,2006-07-01,p,0.7575757575757576,0.6602681224004754
Tékkland,2006-10-01,foreign_country,10.6,11.275
Tékkland,2006-10-01,reporting_country,6.2,6.775
Tékkland,2006-10-01,p,0.7096774193548385,0.6675485883502961
Tékkland,2007-01-01,foreign_country,10.1,10.8
Tékkland,2007-01-01,reporting_country,5.8,6.35
Tékkland,2007-01-01,p,0.7413793103448276,0.702893415936503
Tékkland,2007-04-01,foreign_country,9.4,10.425
Tékkland,2007-04-01,reporting_country,5.1,5.925
Tékkland,2007-04-01,p,0.8431372549019609,0.7629424355443462
Tékkland,2007-07-01,foreign_country,8.2,9.575
Tékkland,2007-07-01,reporting_country,4.9,5.5
Tékkland,2007-07-01,p,0.6734693877551017,0.7419158430891821
