year,country,dwellings,population,new_dwellings,new_by_pop,rolling
2016,Norway,2485353,5213985,29049,5.571362403229008,54.673393331378726
2017,Norway,2515589,5258317,30236,5.750128795962662,54.46748668806535
2018,Norway,2547732,5295619,32143,6.069734246364778,53.84314128224953
2019,Norway,2581155,5328212,33423,6.272835990760128,54.6199124695778
2020,Norway,2610040,5367580,28885,5.381382298913104,55.22874428218929
2021,Norway,2637838,5391369,27798,5.156018814516313,56.50593851164431
2022,Norway,2666507,5425270,28669,5.284345295257195,56.62528752741568
2023,Norway,2694301,5488984,27794,5.063596468854709,55.64842886365536
2004,Poland,12683392,38173835,87501,2.2921721121286347,32.617063285957414
2005,Poland,12776140,38157055,92748,2.430690733338828,33.56624947684014
2006,Poland,12876676,38125479,100536,2.6369767052631654,34.75729054878079
2007,Poland,12993716,38115641,117040,3.0706554298798228,36.12851411916581
2008,Poland,13150294,38135876,156578,4.105792666202292,38.29570195550589
2009,Poland,13302449,38167329,152155,3.9865247054620983,40.30618188511578
2010,Poland,13470428,38529866,167979,4.359708907370714,42.535392129014966
2011,Poland,13587440,38538447,117012,3.0362406663662393,42.927956230460005
2012,Poland,13722786,38533299,135346,3.5124425759652707,33.564707692080766
2013,Poland,13852896,38495659,130110,3.379861609850607,32.81106611182767
2014,Poland,13983039,38478602,130143,3.382217472453911,33.90111147215295
2015,Poland,14119452,38437239,136413,3.5489801960021112,35.01940093481623
2016,Poland,14272010,38432992,152558,3.9694541606336555,36.35187839018672
2017,Poland,14439777,38433558,167767,4.36511758812442,37.64634054843132
2018,Poland,14615112,38411148,175335,4.564690438307129,38.10523832053616
2019,Poland,14812774,38382576,197662,5.149784631443184,39.26849824651724
2020,Poland,15015333,38265013,202559,5.293582416919602,40.20237175606613
2011,Portugal,5879333,10553200,27147,2.572395102907175,49.640688928573006
2012,Portugal,5899059,10508000,19726,1.8772363913208985,36.96848193330687
2013,Portugal,5911865,10449300,12806,1.2255366388179112,32.237396575667205
2014,Portugal,5920160,10387300,8295,0.7985713323000202,28.457549449534227
2015,Portugal,5927219,10337200,7059,0.6828735053979802,24.260280397691844
2016,Portugal,5935021,10306400,7802,0.757005355895366,21.795095727736012
2017,Portugal,5943225,10285100,8204,0.7976587490641802,18.975510683153455
2018,Portugal,5953833,10264100,10608,1.0335051295291355,15.346615478838483
2019,Portugal,5966545,10263400,12712,1.2385759105169827,13.445732749488684
2020,Portugal,5983606,10291700,17061,1.65774361864415,12.6411017343938
2021,Portugal,6002874,10283000,19268,1.8737722454536614,11.942478876940289
2021,Slovenia,864323,2108977,4047.333333333372,1.919097900704167,9.44046551461653
2005,South Korea,15622500,47279000,830020,17.555785866875357,130.42310822307635
2006,South Korea,16045760,47765400,423260,8.86122590829345,130.81489003326317
2007,South Korea,16469020,48251800,423260,8.771900737381818,131.1745465767299
2008,South Korea,16892280,48738200,423260,8.684358470357953,131.50309332083515
2009,South Korea,17315540,49224600,423260,8.598546255327621,131.8015082228748
2010,South Korea,17738800,49711000,423260,8.51441330892559,132.07073339238647
2011,South Korea,18082100,50734284,343300,6.7666274742341885,120.93534079095949
2012,South Korea,18414400,50948272,332300,6.522301678847911,109.64345499180631
2013,South Korea,18742100,51141463,327700,6.407716572363212,98.32395902642003
