year,new_dwellings,population,dwellings,new_by_pop,rolling,population_adult,new_by_adult,rolling_adult,country
2010,45046.40000000014,4518571.2,1949798.6,9.969169015196693,133.24678030199928,3365856,13.383341414487173,181.90662942385768,Írland
2011,45046.39999999991,4588252,1994845,9.817769381455053,134.40075008443483,3373580,13.352699506162566,183.06236085956658,Írland
2012,1760,4622974.6,1996605,0.3807072615108031,126.22496946415856,3378500,0.5209412461151399,171.70469830013394,Írland
2013,1760,4657697.2,1998365,0.3778691324116132,107.24500272207791,3388124,0.519461507312011,145.41250208896938,Írland
2014,1760,4692419.8,2000125,0.3750730060426392,88.64508096592037,3406677,0.5166324837957927,119.68237980644744,Írland
2015,1760,4727142.4,2001885,0.3723179568273636,70.4103960032467,3436588,0.5121358743032334,94.62556607923511,Írland
2016,1760,4761865,2003645,0.3696030861857697,52.52698624557579,3477904,0.5060519209270871,70.27489984496172,Írland
2017,20157.5,4822143.5,2023802.5,4.180194969311884,46.25443751817543,3539013,5.695797105012048,62.0220204151329,Írland
2018,20157.5,4882422,2043960,4.1285861812026905,40.096601236292514,3589945,5.614988530464951,54.050437471956805,Írland
2019,20157.5,4942700.5,2064117.5,4.078236178785262,34.04952616892977,3666045,5.498432234192434,46.12048182277244,Írland
2020,20157.5,5002979,2084275,4.029099462540218,28.10945661627329,3733156,5.3995868375176395,38.1367272458029,Írland
2021,20157.5,5063257.5,2104432.5,3.9811326996503738,22.272819934468615,3791663,5.3162688772710025,30.10029661691134,Írland
2022,20157.5,5123536,2124590,3.9342945965442615,25.826407269502077,3871998,5.205968598124276,34.78532396892047,Írland
2007,468621,58510725,29811817,8.009147040991204,59.51482112861107,47912349,9.780797848170625,72.84192046686907,Ítalía
2008,445661,59001769,30257478,7.553349798715357,63.09231654501433,48336662,9.219937446239047,77.15772428323362,Ítalía
2009,353587,59420592,30611065,5.9505802298300905,65.06856225509043,48685798,7.262631291367557,79.52715443555915,Ítalía
2010,362324,59690316,30973389,6.070063358351127,67.1658097946844,48928445,7.405181178351366,82.0487666961505,Ítalía
2011,234772,59948497,31208161,3.916228291761844,67.1107398084555,49181995,4.773535518435152,81.94971526852414,Ítalía
2012,203890,60105185,31412051,3.392219822632607,63.7595143085088,49369382,4.129887629543347,77.82591597950766,Ítalía
2013,183576,60277309,31595627,3.0455241457444626,59.00870625779906,49551787,3.704730164423737,71.9984515438635,Ítalía
2014,170060,60345917,31765687,2.8180862675431713,53.566897319500534,49662186,3.424335771284816,65.33761472019745,Ítalía
2015,168284,60295497,31933971,2.7909878576836342,49.727267715727784,49676531,3.3875956435041727,60.63408997257298,Ítalía
2016,167082,60163712,32101053,2.777122528609937,46.323309341863435,49634385,3.3662550669258824,56.454887558245694,Ítalía
2017,167261,60066734,32268314,2.7845862237157757,41.098748524588,49641482,3.369379665175991,50.043469375251064,Ítalía
2018,170206,59937769,32438520,2.8397119685919576,36.38511069446461,49627971,3.429638499627559,44.25317042863958,Ítalía
2007,66800,16413311.2,7089600,4.069867389098185,41.77020457637924,12596671,5.30298838478833,54.38896343455472,Holland
2008,66800,16467203.8,7156400,4.0565478396520485,40.52334214729806,12660108,5.276416283336603,52.749744647309434,Holland
2009,66800,16521096.4,7223200,4.043315188209905,39.29281844910541,12750010,5.239211577088959,51.116106829428055,Holland
2010,66800,16574989,7290000,4.03016858714054,38.078391585554286,12852917,5.1972637806655095,49.48394359409514,Holland
2011,49000,16655799,7339000,2.9419183072514263,37.422074828358575,12948303,3.7842796851448406,48.58970474598977,Holland
2012,47743,16730348,7386743,2.8536764447457994,36.69732714077061,13039851,3.6613148417109977,47.60337087286066,Holland
2013,62555,16779575,7449298,3.728044363459742,36.86654135097423,13111489,4.771006557683875,47.748443429083416,Holland
2014,86017,16829289,7535315,5.1111487835285265,38.438240551717534,13186898,6.522913880125561,49.66473293520629,Holland
2015,52649,16900726,7587964,3.115191619578946,38.03315321801401,13271702,3.9670119175370275,49.043315018228974,Holland
2016,53359,16979120,7641323,3.1426245883178865,37.09250311098301,13360437,3.993806490012265,47.71621339809397,Holland
2017,44855,17081507,7686178,2.6259392687073806,35.64857499059221,13467405,3.3306342238909425,45.74385923719659,Holland
2018,54806,17181084,7740984,3.189903500850121,34.781930651790276,13582034,4.035183537311127,44.50262649117111,Holland
2019,73927,17282163,7814911,4.277647421795524,35.016262885375895,13705605,5.39392460237983,44.657339516461974,Holland
2020,76875,17407585,7891786,4.416178349840027,35.40227264807538,13854419,5.5487711177206345,45.0088468535171,Holland
2021,74545,17475415,7966331,4.265706994655062,36.72606133547902,13949486,5.34392450015721,46.56849166852947,Holland
2022,79249,17590672,8045580,4.50517183198004,38.37755672271326,14073172,5.631210930982723,48.538387757801196,Holland
2016,29049,5213985,2485353,5.571362403229008,54.673393331378726,4016798,7.231879721111193,7.231879721111193,Noregur
2017,30236,5258317,2515589,5.750128795962662,54.46748668806535,4061182,7.445123119328313,14.677002840439506,Noregur
2018,32143,5295619,2547732,6.069734246364778,53.84314128224953,4099201,7.841284191724193,22.5182870321637,Noregur
2019,33423,5328212,2581155,6.272835990760128,54.6199124695778,4138264,8.076575104923224,30.59486213708692,Noregur
2020,28885,5367580,2610040,5.381382298913104,55.22874428218929,4184296,6.903192317178326,37.498054454265244,Noregur
2021,27798,5391369,2637838,5.156018814516313,56.50593851164431,4216062,6.593356549310708,44.09141100357595,Noregur
2022,28669,5425270,2666507,5.284345295257195,56.62528752741568,4251821,6.742757985343221,50.834168988919174,Noregur
2023,27794,5488984,2694301,5.063596468854709,55.64842886365536,4310611,6.447809834847078,57.28197882376625,Noregur
2007,117040,38115641,12993716,3.0706554298798228,36.12851411916581,29893059,3.915290168195901,13.445060214096396,Pólland
2008,156578,38135876,13150294,4.105792666202292,38.29570195550589,30070794,5.206979237063045,18.65203945115944,Pólland
2009,152155,38167329,13302449,3.9865247054620983,40.30618188511578,30235010,5.032411102228839,23.684450553388277,Pólland
2010,167979,38529866,13470428,4.359708907370714,42.535392129014966,30223052,5.557976077333288,29.242426630721567,Pólland
2011,117012,38538447,13587440,3.0362406663662393,42.927956230460005,30374047,3.8523677796376625,33.09479441035923,Pólland
2012,135346,38533299,13722786,3.5124425759652707,33.564707692080766,30495604,4.438213455290145,37.533007865649374,Pólland
2013,130110,38495659,13852896,3.379861609850607,32.81106611182767,30591470,4.2531463836160865,41.78615424926546,Pólland
2014,130143,38478602,13983039,3.382217472453911,33.90111147215295,30645536,4.246719652741594,43.034269419449586,Pólland
2015,136413,38437239,14119452,3.5489801960021112,35.01940093481623,30694169,4.444264316131185,44.331464863369014,Pólland
2016,152558,38432992,14272010,3.969454160633655,36.35187839018672,30710502,4.967616615319411,45.91498478755716,Pólland
2017,167767,38433558,14439777,4.36511758812442,37.64634054843132,30733866,5.458701485846265,47.45839610520751,Pólland
2018,175335,38411148,14615112,4.564690438307129,38.10523832053616,30720984,5.707336718120748,47.958753586265225,Pólland
2019,197662,38382576,14812774,5.149784631443184,39.26849824651724,30699486,6.438609428183912,49.3649519122203,Pólland
2020,202559,38265013,15015333,5.293582416919602,40.20237175606613,30675476,6.6032879163798475,50.410263751266854,Pólland
2011,27147,10553200,5879333,2.572395102907175,49.640688928573006,8526139,3.1839734257205987,3.1839734257205987,Portúgal
2012,19726,10508000,5899059,1.8772363913208985,36.96848193330687,8531817,2.312051465707715,5.496024891428314,Portúgal
2013,12806,10449300,5911865,1.2255366388179112,32.237396575667205,8503505,1.5059672452712145,7.001992136699528,Portúgal
2014,8295,10387300,5920160,0.7985713323000202,28.457549449534227,8471931,0.9791156231088285,7.981107759808356,Portúgal
2015,7059,10337200,5927219,0.6828735053979802,24.260280397691844,8450836,0.835301974857872,8.816409734666228,Portúgal
2016,7802,10306400,5935021,0.757005355895366,21.795095727736012,8447778,0.9235564665643439,9.739966201230573,Portúgal
2017,8204,10285100,5943225,0.7976587490641802,18.975510683153455,8446904,0.9712434283614446,10.711209629592018,Portúgal
2018,10608,10264100,5953833,1.0335051295291355,15.346615478838483,8461793,1.25363501565212,11.964844645244138,Portúgal
2019,12712,10263400,5966545,1.238575910516983,13.445732749488684,8485624,1.498063077034759,13.462907722278898,Portúgal
2020,17061,10291700,5983606,1.65774361864415,12.6411017343938,8554178,1.994463991747658,15.457371714026555,Portúgal
2021,19268,10283000,6002874,1.8737722454536616,11.942478876940289,8592573,2.242401664786555,14.515799953092511,Portúgal
2021,4047.333333333372,2108977,864323,1.919097900704167,9.44046551461653,1715833,2.358815416962707,2.358815416962707,Slóvenía
2007,541194,45200737,24034966,11.973123358585944,106.43410918640086,36436406,14.853111473178776,133.3943331765561,Spánn
2008,534749,46157822,24569715,11.585230342974157,108.45069126053087,37151468,14.393751547045193,135.74059460789755,Spánn
2009,338411,46745807,24908126,7.239387267397053,106.2046180452076,37577971,9.005568714713203,132.84228550648797,Spánn
2010,198125,47021031,25106251,4.213540107191609,101.00240585876392,37753141,5.2479077171353765,126.31587748901231,Spánn
2011,142802,47190493,25249053,3.0260756123060637,94.75403378853636,37882779,3.7695756164034324,118.43165574719495,Spánn
2012,133362,47265321,25382415,2.8215612880318743,86.73499205768779,37999700,3.5095540227949167,108.26385267344428,Spánn
2013,58891,47129783,25441306,1.249549568263448,77.70523029500397,37907984,1.5535249777461126,96.86065220888297,Spánn
2014,51029,46771341,25492335,1.0910313646983096,67.4173877367392,37726873,1.352590234552437,83.97728716337046,Spánn
2015,49580,46624382,25541915,1.063392111020367,56.93126776925684,37665248,1.3163327638251578,70.82082800440399,Spánn
2016,44364,46557008,25586279,0.9528962857750652,45.2157873062439,37661151,1.1779778052986218,56.17989487269323,Spánn
2017,58821,46572132,25645100,1.2630085305091894,34.505672478167135,37740153,1.5585787370814317,42.88536213659589,Spánn
2018,67458,46722980,25712558,1.443786333834015,24.36422846902699,37878850,1.780888279343222,30.272498868893912,Spánn
2019,80485,47026208,25793043,1.7114924511880694,18.83633365281801,38160238,2.10913254786304,23.37606270204375,Spánn
2020,89012,47450795,25882055,1.875880056382617,16.49867360200902,38567155,2.3079742335155395,20.43612921842391,Spánn
2021,94250,47385107,25976305,1.9890215716934017,15.461619561396358,38731716,2.4334062554832325,19.099959857503713,Spánn
2007,34089,9182927,4473356,3.712215070423624,23.454676057538094,7056859,4.830619401634636,30.529514830876415,Svíþjóð
2008,33437,9256347,4506793,3.612332165161915,25.807284440348297,7124767,4.6930657521853,33.57944989023774,Svíþjóð
2009,23783,9340682,4530576,2.5461738232818547,27.078155620466397,7196915,3.304610378196769,35.222812514228025,Svíþjóð
2010,20857,9415570,4551433,2.215160632866624,28.01072402332246,7285186,2.862933080912416,36.41515404766209,Svíþjóð
2011,21131,9482855,4572564,2.2283373519894587,28.618139552210938,7363982,2.869507285596298,37.1744612829035,Svíþjóð
2012,27222,9555893,4599786,2.8487133541574816,29.051965091110972,7436037,3.6608209453503258,37.69239963240835,Svíþjóð
2013,33892,9644864,4633678,3.513994598575988,30.074446521310673,7504247,4.516375860229548,38.96587918005304,Svíþjóð
2014,35403,9747355,4669081,3.63206223637079,30.55538626739361,7576161,4.672947156218037,39.538603940069684,Svíþjóð
2015,47487,9851017,4716568,4.820517516110265,32.64295973287119,7651982,6.205843139725107,42.19167431644535,Svíþjóð
2016,79149,9995153,4795717,7.918738212411555,37.04824496134955,7719129,10.253617992392664,47.8703409924411,Svíþjóð
2017,63535,10120242,4859252,6.278011928963754,39.614041819889685,7809834,8.135256139887224,51.17497773069369,Svíþjóð
2018,65540,10230185,4924792,6.406531260187377,42.40824091491515,7887400,8.30945558739255,54.79136756590094,Svíþjóð
2019,53447,10327589,4978239,5.1751672147294014,45.03723430636269,7961682,6.713028729356435,58.19978591706061,Svíþjóð
2020,59205,10379295,5037444,5.70414464566235,48.52621831915842,8034548,7.368802825000237,62.705655661148434,Svíþjóð
2021,58563,10452326,5096007,5.602867725327358,51.90074869249631,8073463,7.253764586522537,67.08991296207468,Svíþjóð
